epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4890.8,1.00101,0.68423,1.17111,0.8422,0.70741,0.80999,0.57949,1.02314,0.73821,1.2012,0.00098525,0.00098525,0.00098525
43,5004.46,0.99081,0.70319,1.16312,0.79372,0.69831,0.80319,0.58608,0.98145,0.80774,1.18879,0.0009605,0.0009605,0.0009605
44,5117.29,0.99832,0.67928,1.18387,0.82433,0.72593,0.81815,0.58901,0.98696,0.80644,1.18489,0.00093575,0.00093575,0.00093575
45,5230.55,0.99914,0.70083,1.18281,0.81657,0.70741,0.81404,0.58007,1.01849,0.78026,1.20481,0.000911,0.000911,0.000911
46,5343.11,0.98895,0.71946,1.15187,0.75268,0.76085,0.81832,0.59689,0.98928,0.76982,1.17759,0.00088625,0.00088625,0.00088625
47,5458.32,0.95973,0.65527,1.15032,0.78123,0.74063,0.82772,0.60695,0.95736,0.74151,1.15873,0.0008615,0.0008615,0.0008615
48,5574.36,0.96958,0.66764,1.13319,0.838,0.70926,0.8199,0.59831,0.97259,0.75942,1.15853,0.00083675,0.00083675,0.00083675
49,5687.76,0.95196,0.63762,1.14419,0.81845,0.73519,0.8204,0.60126,0.97235,0.71882,1.18659,0.000812,0.000812,0.000812
50,5801.11,0.96188,0.69032,1.14829,0.80524,0.74444,0.84328,0.62062,0.94812,0.75088,1.17654,0.00078725,0.00078725,0.00078725
51,5916.04,0.97791,0.66938,1.15524,0.84443,0.72374,0.82862,0.61343,0.94844,0.73996,1.16519,0.0007625,0.0007625,0.0007625
52,6029.79,0.93623,0.65118,1.13754,0.79667,0.75741,0.84733,0.61985,0.94937,0.80273,1.15923,0.00073775,0.00073775,0.00073775
53,6142.35,0.92731,0.60118,1.12081,0.82438,0.73704,0.84911,0.61789,0.91704,0.75466,1.13618,0.000713,0.000713,0.000713
54,6255.72,0.93403,0.63179,1.12514,0.85281,0.73889,0.81481,0.60438,0.93139,0.71348,1.1705,0.00068825,0.00068825,0.00068825
55,6368.63,0.96236,0.64591,1.16971,0.8163,0.72407,0.8405,0.62505,0.91489,0.73781,1.13775,0.0006635,0.0006635,0.0006635
56,6483.07,0.93921,0.6319,1.1331,0.84904,0.73333,0.84177,0.60941,0.94211,0.77895,1.1621,0.00063875,0.00063875,0.00063875
57,6597.42,0.9185,0.6128,1.12109,0.81275,0.76296,0.83964,0.60269,0.93782,0.80024,1.15493,0.000614,0.000614,0.000614
58,6711.28,0.88261,0.64029,1.08547,0.83633,0.75185,0.86147,0.62734,0.92757,0.67829,1.15504,0.00058925,0.00058925,0.00058925
59,6827.34,0.90361,0.60472,1.10798,0.82488,0.76762,0.84575,0.62894,0.88788,0.72182,1.14401,0.0005645,0.0005645,0.0005645
60,6941.93,0.905,0.5875,1.11596,0.82631,0.76646,0.8602,0.63954,0.89053,0.68563,1.12972,0.00053975,0.00053975,0.00053975
61,7058.38,0.90321,0.60013,1.11743,0.82242,0.78044,0.87153,0.65619,0.90545,0.70813,1.1499,0.000515,0.000515,0.000515
62,7172.97,0.856,0.56581,1.09099,0.86946,0.7463,0.87213,0.65617,0.893,0.66821,1.12732,0.00049025,0.00049025,0.00049025
63,7287.04,0.89621,0.60803,1.09506,0.88613,0.76381,0.8735,0.64995,0.88771,0.67227,1.12019,0.0004655,0.0004655,0.0004655
64,7400.29,0.87875,0.57651,1.10985,0.86601,0.76604,0.88067,0.66434,0.8869,0.65819,1.11946,0.00044075,0.00044075,0.00044075
65,7521.28,0.856,0.57472,1.08739,0.83377,0.76481,0.87111,0.64615,0.87597,0.63905,1.11695,0.000416,0.000416,0.000416
66,7635.13,0.85827,0.5621,1.06995,0.88956,0.75556,0.88712,0.67445,0.83912,0.62217,1.09903,0.00039125,0.00039125,0.00039125
67,7751.32,0.83606,0.55784,1.08449,0.84828,0.77593,0.87939,0.66787,0.86569,0.69497,1.11934,0.0003665,0.0003665,0.0003665
68,7864.93,0.8424,0.55998,1.08977,0.83725,0.7963,0.88773,0.66832,0.8617,0.64153,1.11848,0.00034175,0.00034175,0.00034175
69,7978.13,0.84806,0.55791,1.07888,0.90547,0.72037,0.875,0.6648,0.85488,0.64855,1.11431,0.000317,0.000317,0.000317
70,8092.36,0.85548,0.58385,1.09677,0.84049,0.79815,0.88506,0.67907,0.84303,0.62105,1.11074,0.00029225,0.00029225,0.00029225
71,8209.37,0.81843,0.5747,1.07465,0.86547,0.77437,0.89016,0.67662,0.85006,0.65251,1.11047,0.0002675,0.0002675,0.0002675
72,8322.56,0.79917,0.55128,1.06126,0.81713,0.80266,0.88799,0.67684,0.84742,0.632,1.10956,0.00024275,0.00024275,0.00024275
73,8435.21,0.78023,0.53087,1.05022,0.86445,0.79815,0.89683,0.68075,0.85219,0.64586,1.11144,0.000218,0.000218,0.000218
74,8550.47,0.77413,0.51005,1.04294,0.867,0.79815,0.89097,0.67611,0.84311,0.57757,1.10065,0.00019325,0.00019325,0.00019325
75,8662.99,0.76332,0.52236,1.05332,0.91699,0.75689,0.89876,0.68595,0.85095,0.58209,1.09912,0.0001685,0.0001685,0.0001685
76,8777.01,0.74363,0.49769,0.99931,0.89702,0.77407,0.90257,0.68518,0.85227,0.59051,1.10687,0.00014375,0.00014375,0.00014375
77,8890.65,0.71729,0.44855,1.0034,0.8716,0.79815,0.90454,0.69437,0.84406,0.59299,1.10616,0.000119,0.000119,0.000119
78,9006.66,0.75241,0.52369,1.04456,0.90464,0.77301,0.89778,0.68883,0.83633,0.56932,1.10005,9.425e-05,9.425e-05,9.425e-05
79,9120.36,0.73407,0.46416,1.03271,0.88429,0.79257,0.89548,0.68654,0.83272,0.58404,1.0975,6.95e-05,6.95e-05,6.95e-05
80,9232.98,0.74986,0.48275,0.99352,0.88467,0.78889,0.89743,0.69046,0.82783,0.58581,1.09412,4.475e-05,4.475e-05,4.475e-05
